Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346310018048381,1764346310015426073,2622.31
1764346310020166754,1764346310019009594,1157.16
1764346310022184919,1764346310019752995,2431.92
1764346310024464313,1764346310021945702,2518.61
1764346310026539064,1764346310024327634,2211.43
1764346310028683173,1764346310026276624,2406.55
1764346310030790995,1764346310029002760,1788.23
1764346310032870676,1764346310030476313,2394.36
1764346310035001462,1764346310032432052,2569.41
1764346310036997147,1764346310034848730,2148.42
1764346310039299098,1764346310036807968,2491.13
1764346310041526967,1764346310039010424,2516.54
1764346310043652079,1764346310040985660,2666.42
1764346310045750665,1764346310043331097,2419.57
1764346310047782070,1764346310045293835,2488.24
1764346310049927793,1764346310049000840,926.953
1764346310052112991,1764346310049496274,2616.72
1764346310054149522,1764346310051927200,2222.32
1764346310056327832,1764346310053887938,2439.89
1764346310058534647,1764346310055873423,2661.22
1764346310060718404,1764346310059002755,1715.65
1764346310062773677,1764346310060457811,2315.87
1764346310064980082,1764346310062429048,2551.03
1764346310067021271,1764346310064414033,2607.24
1764346310069248931,1764346310066794215,2454.72
1764346310071288167,1764346310068997671,2290.5
1764346310073446534,1764346310070962659,2483.88
1764346310075568636,1764346310072946394,2622.24
1764346310077587519,1764346310075305579,2281.94
1764346310079694418,1764346310078994836,699.582
1764346310081814982,1764346310079502019,2312.96
1764346310084008277,1764346310081475505,2532.77
1764346310086320046,1764346310083808694,2511.35
1764346310088298477,1764346310085774431,2524.05
1764346310090552837,1764346310088991502,1561.34
1764346310092573464,1764346310090005117,2568.35
1764346310094765047,1764346310092375050,2390
1764346310096837515,1764346310094338038,2499.48
1764346310098980926,1764346310096715471,2265.45
1764346310101192623,1764346310098990667,2201.96
1764346310103211418,1764346310100914410,2297.01
1764346310105345444,1764346310102849902,2495.54
1764346310107364678,1764346310105262080,2102.6
1764346310109538836,1764346310108887596,651.24
1764346310111833371,1764346310109166059,2667.31
1764346310113952497,1764346310111343268,2609.23
1764346310116011401,1764346310113750197,2261.2
1764346310118205597,1764346310115735182,2470.41
1764346310120215614,1764346310118987747,1227.87
1764346310122409072,1764346310119987114,2421.96
1764346310124530481,1764346310122338800,2191.68
1764346310126769017,1764346310124281291,2487.73
1764346310128951041,1764346310126260527,2690.51
1764346310131082024,1764346310128986663,2095.36
1764346310133037583,1764346310130517708,2519.88
1764346310135086325,1764346310132885642,2200.68
1764346310137274550,1764346310134840381,2434.17
1764346310139463775,1764346310137245310,2218.47
1764346310141596828,1764346310139028072,2568.76
1764346310143715386,1764346310141410504,2304.88
1764346310145933838,1764346310143385490,2548.35
1764346310148050737,1764346310145792669,2258.07
1764346310150190181,1764346310148982743,1207.44
1764346310152336220,1764346310149740142,2596.08
1764346310154332696,1764346310151927850,2404.85
1764346310156473241,1764346310154340028,2133.21
1764346310158676003,1764346310156282769,2393.23
1764346310160825125,1764346310158908418,1916.71
1764346310162954973,1764346310160374722,2580.25
1764346310164903534,1764346310162747406,2156.13
1764346310167153206,1764346310164730891,2422.32
1764346310169382925,1764346310166755121,2627.8
1764346310171488664,1764346310169001321,2487.34
1764346310173659122,1764346310171405750,2253.37
1764346310175708904,1764346310173355740,2353.16
1764346310177836781,1764346310175306729,2530.05
1764346310179923983,1764346310178979489,944.494
1764346310182096825,1764346310179741637,2355.19
1764346310184271165,1764346310181887101,2384.06
