CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18fd50a7,2,1785199188010910969,1785199188011180547,269
0xc7f94,2,1785199188011054523,1785199188011412713,358
0x18ff2895,2,1785199188012158721,1785199188012520394,361
0x18fe2895,2,1785199188012513441,1785199188012794763,281
0x18fe50a7,2,1785199188015327794,1785199188015651050,323
0x18ffe5f4,2,1785199188018322350,1785199188018649928,327
0x18ff28f4,2,1785199188018696774,1785199188019024964,328
0x10ffd4f4,2,1785199188019062179,1785199188019400463,338
0x18ffefa7,2,1785199188020585429,1785199188020899791,314
0x18ffa7ef,2,1785199188023009803,1785199188023285597,275
0x18fe50a7,2,1785199188025713917,1785199188026024884,310
0x18ffeff4,2,1785199188028798232,1785199188029162280,364
0x18ff9528,2,1785199188029862355,1785199188030150295,287
0x18ffefa7,2,1785199188031226735,1785199188031524550,297
0x1f2,1,1785199188031244032,1785199188031529309,285
0x18fd50a7,2,1785199188031601789,1785199188031902789,301
0x18ff28a7,2,1785199188031865769,1785199188032163159,297
0x18ff2895,2,1785199188033130094,1785199188033400488,270
0x18fe2895,2,1785199188033394685,1785199188033660931,266
0x18fe50a7,2,1785199188036259427,1785199188036538570,279
0x18ffefa7,2,1785199188041324267,1785199188041671978,347
0x18ffa7ef,2,1785199188043690531,1785199188044034488,343
0x18fe50a7,2,1785199188046455959,1785199188046776423,320
0x18ff9528,2,1785199188050721174,1785199188051034630,313
0x18ffefa7,2,1785199188051585761,1785199188051902497,316
0x1f2,1,1785199188051949944,1785199188052276792,326
0xc7ea8,2,1785199188052313720,1785199188052651365,337
0x18ff28a7,2,1785199188052578292,1785199188052909512,331
0x18ff2895,2,1785199188053842470,1785199188054151434,308
0x18fe2895,2,1785199188054107079,1785199188054408007,300
0x18fe50a7,2,1785199188056971358,1785199188057291182,319
0x18ffefa7,2,1785199188062336196,1785199188062654423,318
0x10fff4d4,2,1785199188062353789,1785199188062659516,305
0x18fff5d4,2,1785199188064610553,1785199188064902026,291
0x18ffa7ef,2,1785199188064774793,1785199188065043674,268
0x18fe50a7,2,1785199188067239648,1785199188067524110,284
0x18ff9528,2,1785199188071505086,1785199188071785650,280
0x18ffefa7,2,1785199188072369710,1785199188072652851,283
0x1f2,1,1785199188072934559,1785199188073285793,351
0xc7ea8,2,1785199188073298279,1785199188073662866,364
0x18ff28a7,2,1785199188073315278,1785199188073667422,352
0x18ff2895,2,1785199188074473234,1785199188074784196,310
0x18fe2895,2,1785199188074838121,1785199188075161305,323
0x1801d08f,2,1785199188076902720,1785199188077177206,274
0x18fe50a7,2,1785199188077766992,1785199188078042777,275
0x18ffefa7,2,1785199188082831777,1785199188083171592,339
0x18ffa7ef,2,1785199188085296595,1785199188085653454,356
0x18ff28ef,2,1785199188086261034,1785199188086539525,278
0xc7f8f,2,1785199188087425379,1785199188087784761,359
